# icd -> snomed (the standard ones from ICD10 don't seem to apply
#sequelae|late effects of
#poisoning|adverse reaction to
#prosthetic devices|prosthetics
#bipolar affective disorder|bipolar disorder
#abrasion|friction burn
#deformity|anomaly
#congenital malformation|aberrant
#without|sine
#sine|without
#disease|disorder
#disorder|disease
#hereditary|congenital
#congenital|hereditary
due to|caused by
disease|disorder
haemoglobin|hemoglobin
infection|infectious disease
 i | 1
 ii | 2
 1 | i
 2 |i
 iii | 3
 3 | iii
associated with pregnancy, childbirth and the puerperium|postpartum
postpartum|associated with pregnancy, childbirth and the puerperium
psychotic symptoms|psychosis
psychosis|psychotic symptoms
psychoactive substance dependence|drug dependence
drug dependence|psychoactive substance dependence
depressive disorder|depression
depression|depressive disorder
major|severe
severe|major
colon|large intestine
large intestine|colon
